ID	Drug	Target
210	Dactolisib	"PIK3CA,CLAPO,CLOVE,CWS5,MCAP,MCM,MCMTC,PI3K,PI3K-alpha,p110-alpha,PIK3CB,P110BETA,PI3K,PI3KBETA,PIK3C1,PIK3CG,PI3CG,PI3K,PI3Kgamma,PIK3,p110gamma,p120-PI3K,PIK3CD,APDS,IMD14,P110DELTA,PI3K,p110D,CLSTN1,ALC-ALPHA,CDHR12,CST-1,CSTN1,PIK3CD,XB31alpha,alcalpha1,alcalpha2,PIK3R1,AGM7,GRB1,IMD36,p85,p85-ALPHA,PIK3R2,MPPH,MPPH1,P85B,p85,p85-BETA,PIK3R3,p55,p55-GAMMA,p55PIK,PIK3R4,VPS15,p150,PIK3R5,F730038I15Rik,FOAP-2,P101-PI3K,p101,PIK3R6,C17orf38,HsT41028,p84 PIKAP,p87(PIKAP),p87PIKAP,AKT1S1,Lobe,PRAS40,MLST8,GBL,GbetaL,LST8,POP3,WAT1,MTOR,FRAP,FRAP1,FRAP2,RAFT1,RAPT1,SKS,RPTOR,KOG1,Mip1,MAPKAP1,JC310,MIP1,SIN1,SIN1b,SIN1g,PRR5,FLJ20185k,PP610,PROTOR-1,PROTOR1,RICTOR,AVO3,PIA,hAVO3"
211	Pictilisib	"PIK3CA,CLAPO,CLOVE,CWS5,MCAP,MCM,MCMTC,PI3K,PI3K-alpha,p110-alpha,PIK3CB,P110BETA,PI3K,PI3KBETA,PIK3C1,PIK3CG,PI3CG,PI3K,PI3Kgamma,PIK3,p110gamma,p120-PI3K,PIK3CD,APDS,IMD14,P110DELTA,PI3K,p110D,CLSTN1,ALC-ALPHA,CDHR12,CST-1,CSTN1,PIK3CD,XB31alpha,alcalpha1,alcalpha2,PIK3R1,AGM7,GRB1,IMD36,p85,p85-ALPHA,PIK3R2,MPPH,MPPH1,P85B,p85,p85-BETA,PIK3R3,p55,p55-GAMMA,p55PIK,PIK3R4,VPS15,p150,PIK3R5,F730038I15Rik,FOAP-2,P101-PI3K,p101,PIK3R6,C17orf38,HsT41028,p84 PIKAP,p87(PIKAP),p87PIKAP"
212	AZD8055	"AKT1S1,Lobe,PRAS40,MLST8,GBL,GbetaL,LST8,POP3,WAT1,MTOR,FRAP,FRAP1,FRAP2,RAFT1,RAPT1,SKS,RPTOR,KOG1,Mip1,MAPKAP1,JC310,MIP1,SIN1,SIN1b,SIN1g,PRR5,FLJ20185k,PP610,PROTOR-1,PROTOR1,RICTOR,AVO3,PIA,hAVO3"
213	PD0325901	"MAP2K1,CFC3,MAPKK1,MEK1,MKK1,PRKMK1,MAP2K2,CFC4,MAPKK2,MEK2,MKK2,PRKMK2"
214	SB590885	"BRAF,B-RAF1,B-raf,BRAF1,NS7,RAFB1"
215	Selumetinib	"MAP2K1,CFC3,MAPKK1,MEK1,MKK1,PRKMK1,MAP2K2,CFC4,MAPKK2,MEK2,MKK2,PRKMK2"
216	CCT007093	"PPM1D,IDDGIP,PP2C-DELTA,WIP1"
217	EHT-1864	"RAC1,MIG5,MRD48,Rac-1,TC-25,p21-Rac1,RNASE1,RAC1,RIB1,RNS1,RAC2,EN-7,Gx,HSPC022,p21-Rac2,RAC3,NCOA3,ACTR,AIB-1,AIB1,CAGH16,CTG26,KAT13B,RAC3,SRC-3,SRC3,TNRC14,TNRC16,TRAM-1,bHLHe42,pCIP"
218	Cetuximab	"EGFR,ERBB,ERBB1,HER1,NISBD2,PIG61,mENA,FCGR3B,CD16,CD16A,CD16b,FCG3,FCGR3,FCGR3A,FCR-10,FCRIII,FCRIIIb,C1R,EDSPD1,C1QA,C1QB,C1QC,C1Q-C,C1QG,FCGR3A,CD16,CD16A,FCG3,FCGR3,FCGRIII,FCR-10,FCRIII,FCRIIIA,IGFR3,IMD20,FCGR3B,CD16,CD16A,CD16b,FCG3,FCGR3,FCGR3A,FCR-10,FCRIII,FCRIIIb,C1S,EDSPD2,FCGR1A,CD64,CD64A,FCRI,IGFR1,FCGR1B,CD64b,FCG1,FCGR1,FCGR1A,FcRI,FcgammaRIa,IGFR1,IGFRB,FCGR2A,CD32,CD32A,CDw32,FCG2,FCGR2,FCGR2A1,FcGR,IGFR2,FCGR2B,CD32,CD32B,FCG2,FCGR2,FCGR2C,FcRII-c,IGFR2,FCGR2B,CD32,CD32B,FCG2,FCGR2,FCGR2C,FcRII-c,IGFR2,FCGR2C,CD32,CD32C,CDW32,FCG2,FCRIIC,IGFR2"
219	PF-4708671	"RPS6KB1,PS6K,S6K,S6K-beta-1,S6K1,STK14A,p70 S6KA,p70(S6K)-alpha,p70-S6K,p70-alpha"
220	Serdemetan	"MDM2,ACTFS,HDMX,hdm2"
221	HG-5-113-01	"STK10,LOK,PRO2729,LTK,TYK1,TRCB,ABL1,ABL,CHDSKM,JTK7,bcr/abl,c-ABL,c-ABL1,p150,v-abl,MTTP,ABL,MTP,ABL1,ABL,CHDSKM,JTK7,bcr/abl,c-ABL,c-ABL1,p150,v-abl"
222	HG-5-88-01	"EGFR,ERBB,ERBB1,HER1,NISBD2,PIG61,mENA,COQ8B,ADCK4,NPHS9"
223	TW 37	"BCL2,Bcl-2,PPP1R50,BCL2L1,BCL-XL/S,BCL2L,BCLX,Bcl-X,PPP1R52,MCL1,BCL2L3,EAT,MCL1-ES,MCL1L,MCL1S,Mcl-1,TM,bcl2-L-3,mcl1/EAT"
224	XMD11-85h	"BRSK2,C11orf7,PEN11B,SAD1,SADA,STK29,FLT4,FLT-4,FLT41,LMPH1A,LMPHM1,PCL,VEGFR-3,VEGFR3,MARK4,MARK4L,MARK4S,MARKL1,MARKL1L,PAR-1D,PRKCD,ALPS3,CVID9,MAY1,PKCD,nPKC-delta,RET,CDHF12,CDHR16,HSCR1,MEN2A,MEN2B,MTC1,PTC,RET-ELE1,SPRK1"
225	ZG-10	"MAPK8,JNK,JNK-46,JNK1,JNK1A2,JNK21B1/2,PRKM8,SAPK1,SAPK1c"
226	XMD8-92	"MAPK7,BMK1,ERK4,ERK5,PRKM7"
227	QL-VIII-58	"MTOR,FRAP,FRAP1,FRAP2,RAFT1,RAPT1,SKS,ATR,FCTCS,FRP1,MEC1,SCKL,SCKL1,ANTXR1,ATR,GAPO,TEM8,MMAB,ATR,CFAP23,cblB,cob,SERPINA2,ARGS,ATR,PIL,SERPINA2P,psiATR"
228	CCT-018159	"HSP90AA1,EL52,HEL-S-65p,HSP86,HSP89A,HSP90A,HSP90N,HSPC1,HSPCA,HSPCAL1,HSPCAL4,HSPN,Hsp103,Hsp89,Hsp90,LAP-2,LAP2,HSP90AB1,D6S182,HSP84,HSP90B,HSPC2,HSPCB"
229	Rucaparib	"PARP1,ADPRT,ADPRT 1,ADPRT1,ARTD1,PARP,PARP-1,PPOL,pADPRT-1,PARP2,ADPRT2,ADPRTL2,ADPRTL3,ARTD2,PARP-2,pADPRT-2,PARP3,ADPRT3,ADPRTL2,ADPRTL3,ARTD3,IRT1,PADPRT-3"
230	SB505124	"ACVR1B,ACTRIB,ACVRLK4,ALK4,SKR2,TGFBR1,AAT5,ACVRLK4,ALK-5,ALK5,ESS1,LDS1,LDS1A,LDS2A,MSSE,SKR4,TBR-i,TBRI,TGFR-1,tbetaR-I"
231	Tamoxifen	"ESR1,ER,ESR,ESRA,ESTRR,Era,NR3A1,ESR2,ER-BETA,ESR-BETA,ESRB,ESTRB,Erb,NR3A2,ODG8,GLB1,EBP,ELNR1,MPS4B,EBP,CDPX2,CHO2,CPX,CPXD,MEND,SH3D19,EBP,EVE1,Eve-1,Kryn,SH3P19,AKR1B1,ADR,ALDR1,ALR2,AR,AR,AIS,AR8,DHTR,HUMARA,HYSP1,KD,NR3C4,SBMA,SMAX1,TFM,AREG,AR,AREGB,CRDGF,SDGF,KCNH2,ERG-1,ERG1,H-ERG,HERG,HERG1,Kv11.1,LQT2,SQT1,NR1I2,BXR,ONR1,PAR,PAR1,PAR2,PARq,PRR,PXR,SAR,SXR,ESRRG,ERR-gamma,ERR3,ERRg,ERRgamma,NR3B3,SHBG,ABP,SBP,TEBG"
232	QL-XII-61	"BMX,ETK,PSCTK2,PSCTK3,BTK,AGMX1,AT,ATK,BPK,IGHD3,IMD1,PSCTK1,XLA"
233	PFI-1	"BRD4,CAP,HUNK1,HUNKI,MCAP"
234	IOX2	"EGLN1,C1orf12,ECYT3,HALAH,HIF-PH2,HIFPH2,HPH-2,HPH2,PHD2,SM20,ZMYND6"
235	YK-4-279	"DHX9,DDX9,LKP,NDH2,NDHII,RHA"
236	(5Z)-7-Oxozeaenol	"MAP3K7,CSCF,FMD2,MEKK7,TAK1,TGF1a,NR2C2,TAK1,TR4"
237	Piperlongumine	"CCND1,BCL1,D11S287E,PRAD1,U21B31,BIRC5,API4,EPR-1,MYC,MRTL,MYCC,bHLHe39,c-Myc,EGFR,ERBB,ERBB1,HER1,NISBD2,PIG61,mENA,MET,AUTS9,DFNB97,HGFR,RCCP2,c-Met,RNMT,CMT1,CMT1c,MET,Met,RG7MT1,cm1p,hCMT1,hMet,PSG1,B1G1,CD66f,DHFRP2,FL-NCA-1/2,PBG1,PS-beta-C/D,PS-beta-G-1,PSBG-1,PSBG1,PSG95,PSGGA,PSGIIA,SP1,SP1,DAND5,CER2,CERL2,CKTSF1B3,COCO,CRL2,DANTE,GREM3,SP1,AZF1,AZF,AZFA,SP3,SP3,SPR2,SP4,HF1B,SPR-1"
238	Daporinad	"NAMPT,1110035O14Rik,PBEF,PBEF1,VF,VISFATIN"
239	Talazoparib	"PARP1,ADPRT,ADPRT 1,ADPRT1,ARTD1,PARP,PARP-1,PPOL,pADPRT-1,PARP2,ADPRT2,ADPRTL2,ADPRTL3,ARTD2,PARP-2,pADPRT-2"
240	rTRAIL	"TNFSF10,APO2L,Apo-2L,CD253,TL2,TNLG6A,TRAIL,TNFRSF10A,APO2,CD261,DR4,TRAILR-1,TRAILR1,TNFRSF10B,CD262,DR5,KILLER,KILLER/DR5,TRAIL-R2,TRAILR2,TRICK2,TRICK2A,TRICK2B,TRICKB,ZTNFR9,TNFRSF10C,CD263,DCR1,DCR1-TNFR,LIT,TRAIL-R3,TRAILR3,TRID,TNFRSF10D,CD264,DCR2,TRAIL-R4,TRAILR4,TRUNDD"
241	UNC1215	"L3MBTL3,MBT-1,MBT1"
242	SGC0946	"DOT1L,DOT1,KMT4"
243	ICL1100013	"NMT1,NMT,NMT2"
244	XAV939	"TNKS,ARTD5,PARP-5a,PARP5A,PARPL,TIN1,TINF1,TNKS1,pART5,TNKS2,ARTD6,PARP-5b,PARP-5c,PARP5B,PARP5C,TANK2,TNKL,pART6"
245	Trametinib	"MAP2K1,CFC3,MAPKK1,MEK1,MKK1,PRKMK1,MAP2K2,CFC4,MAPKK2,MEK2,MKK2,PRKMK2"
246	Dabrafenib	"BRAF,B-RAF1,B-raf,BRAF1,NS7,RAFB1,RAF1,CMD1NN,CRAF,NS5,Raf-1,c-Raf,RNASE3,ECP,RAF1,RNS3,SIK1,MSK,SIK,SIK-1,SIK1B,SNF1LK,SIK1B,SIK,SIK-1,SIK1,SNF1LK,NEK11,LIMK1,LIMK,LIMK-1"
247	Temozolomide	"ATM,AT1,ATA,ATC,ATD,ATDC,ATE,TEL1,TELO1,ATR,FCTCS,FRP1,MEC1,SCKL,SCKL1,ANTXR1,ATR,GAPO,TEM8,MMAB,ATR,CFAP23,cblB,cob,SERPINA2,ARGS,ATR,PIL,SERPINA2P,psiATR,CHEK1,CHK1"
248	Bleomycin (50 uM)	"LIG1,LRIG1,LIG-1,LIG1,LIG3,LIG2,LIG3alpha,LRIG3,LIG3,ATM,AT1,ATA,ATC,ATD,ATDC,ATE,TEL1,TELO1,PRKDC,DNA-PKC,DNA-PKcs,DNAPK,DNAPKc,DNPK1,HYRC,HYRC1,IMD26,XRCC7,p350"
249	SN-38	"TOP1,TOPI"
250	Pevonedistat	"NAE1,A-116A10.1,APPBP1,HPP1,ula-1"
251	PFI-3	"SMARCA2,BAF190,BRM,NCBRS,SNF2,SNF2L2,SNF2LA,SWI2,Sth1p,hBRM,hSNF2a,SMARCA4,BAF190,BAF190A,BRG1,CSS4,MRD16,RTPS2,SNF2,SNF2L4,SNF2LB,SWI2,hSNF2b,PBRM1,BAF180,PB1"
